ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
VOR,18.715,17.83,4.9635,,,,,,2026-04-01
VRDN,19.06,19.545,-2.4815,,,,,,2026-04-01
VRTX,451.19,446.475,1.0561,,,,,,2026-04-01
VSTM,5.4,5.3,1.8868,,,,,,2026-04-01
VTRS,13.685,13.51,1.2953,,,,,,2026-04-01
VTVT,40.855,38.355,6.5181,,,,,,2026-04-01
VTYX,14.0,13.985,0.1073,,,,,,2026-04-01
VYGR,3.995,3.865,3.3635,,,,,,2026-04-01
WVE,7.175,7.245,-0.9662,,,,,,2026-04-01
XENE,57.695,58.135,-0.7569,,,,,,2026-04-01
XERS,6.04,5.795,4.2278,,,,,,2026-04-01
XFOR,4.39,4.12,6.5534,,,,,,2026-04-01
XNCR,12.43,12.03,3.325,,,,,,2026-04-01
XOMA,33.07,31.225,5.9087,,,,,,2026-04-01
ZBIO,19.59,19.54,0.2559,,,,,,2026-04-01
ZLAB,20.08,18.805,6.7801,,,,,,2026-04-01
ZNTL,2.61,2.35,11.0638,,,,,,2026-04-01
ZTS,118.17,118.115,0.0466,,,,,,2026-04-01
ZURA,6.34,5.93,6.914,,,,,,2026-04-01
ZVRA,9.49,9.33,1.7149,,,,,,2026-04-01
ZYME,25.475,25.03,1.7779,,,,,,2026-04-01
